Name,Alkoholisch,Farbe
Jarzebinka,1,Null
Johannisbeere dry,1,Null
Jägermeister,1,Null
Kaffee Likör,1,Null
Kaffeelikör,1,Null
Kahlua,1,Null
Kaiserbirn,1,Null
Kakao-Nuß-Likör,1,Null
Kamasutra,1,Null
Karamellikör,1,Null
Karawankenperle,1,Null
Karl der Große,1,Null
Kartoffelschnaps,1,Null
Kirsberry,1,Null
Kirsch,1,Null
Kirschlikör,1,Null
Kirschrum,1,Null
Kirschwasser,1,Null
Kiwilikör,1,Null
Kokusnuß-Rum-Likör,1,Null
Kokusnußlikör,1,Null
Kombucha,1,Null
Kontiki Alcotropic,1,Null
Korn,1,Null
Krimsekt,1,Null
Kroatzbeere Echte,1,Null
Kräuterlikör,1,Null
Kumquat Likör,1,Null
Kunigund,1,Null
Kwai Feh,1,Null
Känguruh Maracujalik,1,Null
Kümmellikör,1,Null
Lemoncello,1,Null
Licor 43,1,Null
Likörwein,1,Null
Lillet,1,Null
Lime Liqueur,1,Null
Limoncello,1,Null
Limonito,1,Null
Liqueur,1,Null
Liqueur dOr,1,Null
Liquore Strega,1,Null
Litschilikör,1,Null
Lychee Kwai Feh,1,Null
Madeira,1,Null
Magenbitter,1,Null
Maibowlen Ansatz,1,Null
Maiwein,1,Null
"Malaga, Wein",1,Null
Malibu,1,Null
Mandarinengeist,1,Null
Mandarinenlikör,1,Null
Mandarinetto,1,Null
Mandellikör,1,Null
Mangalore,1,Null
Mangaroca,1,Null
"Mango, Likör",1,Null
Manzana Verde,1,Null
Manzananita,1,Null
Manzanita Likör,1,Null
Maracujageist,1,Null
Maracujalikör,1,Null
Maraschino,1,Null
Maria Brizard,1,Null
Marillenbrand,1,Null
Marillenlikör,1,Null
Marsala Wein,1,Null
Martini,1,Null
Martini-Bitter,1,Null
Meisterlikör,1,Null
Melon Liqueur,1,Null
Melonenlikör,1,Null
Metaxa,1,Null
Mezcal,1,Null
Midori Likör,1,Null
Mirabell,1,Null
Mokkalikör,1,Null
Molasses,1,Null
Monin Liqueuer,1,Null
Mozart Likör,1,Null
Muscari Aperitifwein,1,Null
Muskatela Wein,1,Null
Münchner Kindel,1,Null
Navy Grog Trader Vic,1,Null
Nektarinen Likör,1,Null
Nuss Likör,1,Null
Obstler,1,Null
Obsttrester,1,Null
Ora Likör Lochan,1,Null
Oragnac,1,Null
Orangen Brandy,1,Null
Orangenbitter,1,Null
Orangenblütenwasser,1,Null
Orangenlikör,1,Null
Orangero,1,Null
Ouzo,1,Null
Oxygenée-Cusenier,1,Null
Paprika Liquer,1,Null
Parfait Amour,1,Null
Pascha Likör,1,Null
Passion Fruit Likör,1,Null
Passoa,1,Null
Pastis,1,Null
Peach Bitter,1,Null
Peach Brandy,1,Null
Peach Liqueur,1,Null
Peachtree Likör,1,Null
Pear Liqueuer,1,Null
Peppermint,1,Null
Pernod,1,Null
Peychauds Bitter,1,Null
Pfeffer-Wodka,1,Null
Pfefferminzlikör,1,Null
Pfirsichgeist,1,Null
Pfirsichlikör,1,Null
Pflaumen Likör,1,Null
Pflümliwasser,1,Null
Picon,1,Null
Pilsner Bier,1,Null
Pimento Dram,1,Null
Pimentolikör,1,Null
Pimms No.,1,Null
