Name,Alkoholisch,Farbe
Vitaminnektar,0,Null
Waldfrucht &amp; CO Saft,0,Null
Waldmeistersirup,0,Null
Wasser,0,Null
Wassermelone,0,Null
Wassermelone Saft,0,Null
Watermelonsirup,0,Null
Weizenkeimöl,0,Null
Weißdornsaft,0,Null
Weißkohl Saft,0,Null
Williams-Christ-Birne Saft,0,Null
Worcestershire Saft,0,Null
Zimtsirup,0,Null
Zimtsirup-Marie Brizard,0,Null
Zimtsirup-Monin,0,Null
Zitrone Limo,0,Null
Zitronenlimonade,0,Null
Zitronensaft,0,Null
Zitronensaft Saft,0,Null
Zitronensaft-Klindworth,0,Null
Zitronensirup,0,Null
Zitronensirup-Riemerschmid,0,Null
Zucker Sirup,0,Null
Zucker-Riemerschmid,0,Null
Zwiebelsaft,0,Null
alkoholfreier Schaumwein,0,Null
alkoholfreier Sekt,0,Null
alkoholfreier Vermouth,0,Null
alkoholfreier Wein,0,Null
Öl,0,Null
